##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	74-75	-0.1174333249818531
1104	76-77	-0.1761626955996789
1104	78-79	-0.045487335079350544
1104	80-81	-0.1574608380888165
1104	82-83	-0.17171783913308758
1104	84-85	-0.15355466918546767
1104	86-87	-0.1245439195115452
1104	88-89	-0.20829925142357553
1104	90-91	-0.26151375898933793
1104	92-93	-0.23178151698056126
1104	94-95	-0.32747323044977605
1104	96-97	-0.3131183787625531
1104	98-99	-0.10223313929573408
1104	100-101	-0.27291308480423737
1105	1	-0.37829479577952796
1105	2	-0.6478583390118615
1105	3	-1.1952125927792778
1105	4	-1.0961678218325943
1105	5	-0.9638472208514273
1105	6	-1.387488462453156
1105	7	-1.3025470150257945
1105	8	-1.2985920299061107
1105	9	-1.2448199707280239
1105	10-11	-1.2375967736287237
1105	12-13	-0.4235421045580452
1105	14-15	-0.27770023585650705
1105	16-17	-0.15728449758249496
1105	18-19	-0.12039126164932412
1105	20-21	-0.13639231991083278
1105	22-23	-0.20376530580175967
1105	24-25	-0.15337432877260682
1105	26-27	-0.14219658948832858
1105	28-29	-0.15394277462526418
1105	30-31	-0.16524802021757523
1105	32-33	-0.007474323554298223
1105	34-35	-0.07305525464213503
1105	36-37	-0.029904557528922737
1105	38-39	-0.1440113609591691
1105	40-41	-0.2509707033588029
1105	42-43	-0.1994548515383343
1105	44-45	-0.14230704264996064
1105	46-47	-0.1236000839871636
1105	48-49	-0.02637698483477635
1105	50-51	-0.054783827213675806
1105	52-53	-0.10582155637280266
1105	54-55	0.1036495402811255
1105	56-57	-0.16459486517377542
1105	58-59	-0.14383880849172215
1105	60-61	-0.02348956924720369
1105	62-63	-0.1457086602856421
1105	64-65	-0.18143921381604144
1105	66-67	-0.10848202002750185
1105	68-69	-0.0010489531170136956
1105	70-71	-0.1471784374212035
1105	72-73	-0.06534176602120567
1105	74-75	-0.11119241521037537
1105	76-77	-0.11606294145250473
1105	78-79	-0.10646757822578223
1105	80-81	-0.1358602614313824
1105	82-83	-0.09528384363783715
1105	84-85	-0.08532403593353166
1105	86-87	-0.042965399435416884
1105	88-89	-0.2477566241511866
1105	90-91	-0.23691734544698306
1105	92-93	-0.20233876374726378
1105	94-95	-0.2909270832931128
1105	96-97	-0.3050660811956192
1105	98-99	-0.23492235549232987
1105	100-101	-0.2502829849425936
1106	1	-0.4483615180042442
1106	2	-0.6473355971709154
1106	3	-0.9369418943322785
1106	4	-0.9633927286047381
1106	5	-0.8144800345505487
1106	6	-1.0532328834877944
1106	7	-1.0862087949925154
1106	8	-1.1189851758261185
1106	9	-1.0670563541630926
1106	10-11	-1.0651327624681528
1106	12-13	-0.6457975413231125
1106	14-15	-0.476743054545004
1106	16-17	-0.22236472362835258
1106	18-19	-0.19802304977682894
1106	20-21	-0.14413776259861066
1106	22-23	-0.19096331521511445
1106	24-25	-0.16531739048966898
1106	26-27	-0.20439945354753064
1106	28-29	-0.21987639360523303
1106	30-31	-0.3082772861922436
1106	32-33	-0.20997950731064918
1106	34-35	-0.2358785294899448
1106	36-37	-0.2294487053047547
1106	38-39	-0.43937377722845383
1106	40-41	-0.36769024727338717
1106	42-43	-0.30353369335529834
1106	44-45	-0.29859789427344197
1106	46-47	-0.20289545457301728
1106	48-49	-0.1457078213589469
1106	50-51	-0.02956450137271105
1106	52-53	-0.166388846845841
1106	54-55	0.008835987360164665
1106	56-57	-0.13464301723936245
1106	58-59	-0.1030145755984293
1106	60-61	-0.08321513018907467
1106	62-63	-0.20480203180390077
1106	64-65	-0.14498654461392846
1106	66-67	-0.052218585892397584
1106	68-69	-0.121628596974098
1106	70-71	-0.18296075144206725
1106	72-73	-0.1488622368709116
