##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1110	26-27	0.07560009644382859
1110	28-29	0.04392977335474768
1110	30-31	0.08988455303712328
1110	32-33	0.07903678658120583
1110	34-35	0.04217777956561264
1110	36-37	0.08146695105715906
1110	38-39	0.05742669318971849
1110	40-41	0.08218404533034374
1110	42-43	0.0777585858784633
1110	44-45	0.09702418470093477
1110	46-47	0.05805452704816361
1110	48-49	0.077057605251035
1110	50-51	0.02656241798577952
1110	52-53	0.1280698435596861
1110	54-55	0.11134710927687763
1110	56-57	0.11383534528005157
1110	58-59	0.10886158924262901
1110	60-61	0.09674403438002344
1110	62-63	0.1326613893220241
1110	64-65	0.12529888884553486
1110	66-67	0.11254728193268448
1110	68-69	0.09416059732564008
1110	70-71	0.14952205795312778
1110	72-73	0.14346406964941139
1110	74-75	0.11144986836664117
1110	76-77	0.208872482814769
1110	78-79	0.19055715365691128
1110	80-81	0.15939891320421395
1110	82-83	0.09166185714736486
1110	84-85	0.19595774375126496
1110	86-87	0.1891164375182015
1110	88-89	0.31160968451259663
1110	90-91	0.29760930957304055
1110	92-93	0.3708975970793844
1110	94-95	0.40061993629407766
1110	96-97	0.36725672956183075
1110	98-99	0.5902916630932182
1110	100-101	0.4352833906715077
1111	1	-0.2184821118943745
1111	2	0.010471103100581303
1111	3	-0.05261807775780625
1111	4	0.025710064896451
1111	5	0.10466171857127904
1111	6	0.0706169148195599
1111	7	0.08277993945599604
1111	8	0.06298580311638347
1111	9	0.05582599996616722
1111	10-11	0.06208014365214609
1111	12-13	0.049293326394355574
1111	14-15	0.04685494685082148
1111	16-17	0.10490495661554888
1111	18-19	0.035503563705518104
1111	20-21	0.016700559493351363
1111	22-23	0.043358824584643685
1111	24-25	0.03500679153479069
1111	26-27	0.05610577095840341
1111	28-29	0.055167659519064216
1111	30-31	0.0837581045872966
1111	32-33	0.03638038781390662
1111	34-35	0.04770976855636633
1111	36-37	0.06373120158809087
1111	38-39	0.06527651274888768
1111	40-41	0.06565828146728592
1111	42-43	0.06161768704885873
1111	44-45	0.10867294097831603
1111	46-47	0.06963232832867305
1111	48-49	0.06880538480091047
1111	50-51	0.07153488186197166
1111	52-53	0.09445516847384994
1111	54-55	0.0927688486298095
1111	56-57	0.10271310864168015
1111	58-59	0.07598690001274377
1111	60-61	0.06141290317472681
1111	62-63	0.11916794296893585
1111	64-65	0.0923571598615851
1111	66-67	0.07733381489369862
1111	68-69	0.10339644077073018
1111	70-71	0.15577828731995425
